2020-07-28 10:24:31.483 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lkl.demomsb.DemomsbApplicationTests], using SpringBootContextLoader
2020-07-28 10:24:31.489 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lkl.demomsb.DemomsbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-28 10:24:31.490 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lkl.demomsb.DemomsbApplicationTests]: DemomsbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-28 10:24:31.869 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lkl.demomsb.DemomsbApplication for test class com.lkl.demomsb.DemomsbApplicationTests
2020-07-28 10:24:32.051 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-28 10:24:32.087 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@9ed238c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56276db8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51e8e6e6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@56f6d40b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@36676c1a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5b408dc3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4d098f9b, org.springframework.test.context.event.EventPublishingTestExecutionListener@2dbf4cbd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@20b5f2ac, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7fc44dec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7e3060d8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2692b61e]
2020-07-28 10:24:32.695 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-LAKALA with PID 19760 (started by gg in E:\ideaProject\demomsb)
2020-07-28 10:24:32.696 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-28 10:24:36.462 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static methods: private static void com.lkl.demomsb.service.ReadPropertiesService.setUrl(java.lang.String)
2020-07-28 10:24:39.424 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-28 10:24:41.897 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 9.678 seconds (JVM running for 13.544)
